1,0,29.05,1
1,1,28.42,2
1,nan,28.330000000000002,2
1,nan,28.290000000000003,2
0,nan,27.69,2
0,0,27.64,3
1,0,27.150000000000002,4
1,1,27.070000000000004,5
0,nan,26.480000000000004,5
1,0,25.760000000000005,6
0,1,25.660000000000004,7
0,1,24.790000000000003,8
1,nan,24.060000000000002,8
0,1,23.44,9
1,0,23.16,10
0,0,22.64,11
0,nan,21.91,11
1,0,21.2,12
0,nan,21.2,12
1,nan,21.08,12
1,1,20.33,13
0,nan,19.4,13
1,nan,18.77,13
0,nan,18.419999999999998,13
1,nan,17.819999999999997,13
0,nan,17.549999999999997,13
1,0,17.289999999999996,14
0,0,16.819999999999997,15
1,0,16.729999999999997,16
0,0,16.549999999999997,17
1,nan,16.439999999999998,17
1,nan,15.499999999999998,17
1,nan,15.469999999999999,17
0,nan,14.999999999999998,17
1,nan,14.309999999999999,17
0,0,13.62,18
1,1,12.739999999999998,19
1,nan,12.029999999999998,19
1,0,11.799999999999997,20
0,1,11.129999999999997,21
1,nan,10.669999999999996,21
0,0,10.379999999999997,22
1,1,10.169999999999996,23
0,0,9.229999999999997,24
1,1,8.959999999999997,25
1,0,8.099999999999998,26
0,0,7.329999999999998,27
1,1,7.189999999999999,28
1,1,6.669999999999998,29
0,nan,6.179999999999998,29
0,nan,5.539999999999998,29
0,0,5.0699999999999985,30
1,nan,4.539999999999998,30
1,0,3.629999999999998,31
0,nan,3.2699999999999982,31
1,nan,3.1799999999999984,31
1,1,2.5099999999999985,32
0,nan,1.8299999999999983,32
0,0,1.2199999999999984,33
1,0,0.9399999999999984,34
0,nan,0.4199999999999984,34
0,nan,-0.2900000000000016,34
